surface,screen_or_route,source,design_status,verification
Public web,/sign-up,apps/web/app/sign-up/page.tsx,pending,
Public web,/venues/[venueId],apps/web/app/venues/[venueId]/page.tsx,pending,
Public web,/vision/remote/[token],apps/web/app/vision/remote/[token]/page.tsx,pending,
Public web,/waivers/complete,apps/web/app/waivers/complete/page.tsx,pending,
Public web,/watch/[videoId],apps/web/app/watch/[videoId]/page.tsx,pending,
HQ,/[module],apps/hq/app/[module]/page.tsx,pending,
HQ,/account,apps/hq/app/account/page.tsx,pending,
HQ,/admin/[module],apps/hq/app/admin/[module]/page.tsx,pending,
HQ,/admin/messaging-safety,apps/hq/app/admin/messaging-safety/page.tsx,access-state-reviewed,Correct access-denied UI; privileged workspace still requires authorized review
HQ,/admin/organizations/[organizationId],apps/hq/app/admin/organizations/[organizationId]/page.tsx,pending,
HQ,/admin,apps/hq/app/admin/page.tsx,pending,
HQ,/admin/support,apps/hq/app/admin/support/page.tsx,access-state-reviewed,Correct access-denied UI; privileged workspace still requires authorized review
HQ,/admin/video,apps/hq/app/admin/video/page.tsx,pending,
HQ,/audiences/[audienceId],apps/hq/app/audiences/[audienceId]/page.tsx,pending,
HQ,/audiences/create,apps/hq/app/audiences/create/page.tsx,pending,
HQ,/audiences,apps/hq/app/audiences/page.tsx,pending,
HQ,/events/[sessionId]/divisions/[divisionId],apps/hq/app/events/[sessionId]/divisions/[divisionId]/page.tsx,pending,
HQ,/events/[sessionId],apps/hq/app/events/[sessionId]/page.tsx,pending,
HQ,/events/court-bookings/[activityId],apps/hq/app/events/court-bookings/[activityId]/page.tsx,pending,
HQ,/events/create,apps/hq/app/events/create/page.tsx,pending,
HQ,/events/matches/[activityId],apps/hq/app/events/matches/[activityId]/page.tsx,pending,
HQ,/events/types/[eventType],apps/hq/app/events/types/[eventType]/page.tsx,pending,
HQ,/leagues/create,apps/hq/app/leagues/create/page.tsx,pending,
HQ,/locations/[venueId]/courts/[courtId],apps/hq/app/locations/[venueId]/courts/[courtId]/page.tsx,pending,
HQ,/locations/[venueId]/courts/create,apps/hq/app/locations/[venueId]/courts/create/page.tsx,pending,
HQ,/locations/[venueId]/layout,apps/hq/app/locations/[venueId]/layout/page.tsx,pending,
HQ,/locations/[venueId],apps/hq/app/locations/[venueId]/page.tsx,pending,
HQ,/locations/create,apps/hq/app/locations/create/page.tsx,pending,
HQ,/marketing/create,apps/hq/app/marketing/create/page.tsx,pending,
HQ,/members/[personId]/health,apps/hq/app/members/[personId]/health/page.tsx,pending,
HQ,/members/[personId],apps/hq/app/members/[personId]/page.tsx,pending,
HQ,/members/invite,apps/hq/app/members/invite/page.tsx,pending,
HQ,/messages/create,apps/hq/app/messages/create/page.tsx,pending,
HQ,/messages,apps/hq/app/messages/page.tsx,pending,
HQ,/onboarding/complete,apps/hq/app/onboarding/complete/page.tsx,pending,
HQ,/onboarding,apps/hq/app/onboarding/page.tsx,pending,
HQ,/,apps/hq/app/page.tsx,first-review,
HQ,/payments/disputes,apps/hq/app/payments/disputes/page.tsx,pending,
HQ,/payments,apps/hq/app/payments/page.tsx,local-review,Warm presentation reviewed with local fixtures; connected acceptance pending
HQ,/payments/payout-settings,apps/hq/app/payments/payout-settings/page.tsx,pending,
HQ,/payments/refund-policies,apps/hq/app/payments/refund-policies/page.tsx,pending,
HQ,/payments/setup,apps/hq/app/payments/setup/page.tsx,pending,
HQ,/payments/transactions/[transactionId],apps/hq/app/payments/transactions/[transactionId]/page.tsx,pending,
HQ,/payments/transactions,apps/hq/app/payments/transactions/page.tsx,pending,
HQ,/products/[itemId]/builder,apps/hq/app/products/[itemId]/builder/page.tsx,pending,
HQ,/products/[itemId]/draft-ready,apps/hq/app/products/[itemId]/draft-ready/page.tsx,pending,
HQ,/products/[itemId],apps/hq/app/products/[itemId]/page.tsx,pending,
HQ,/products/create,apps/hq/app/products/create/page.tsx,local-review,Warm presentation reviewed with local fixtures; connected acceptance pending
HQ,/products/types/[productType],apps/hq/app/products/types/[productType]/page.tsx,pending,
HQ,/programs,apps/hq/app/programs/page.tsx,pending,
HQ,/promo-codes,apps/hq/app/promo-codes/page.tsx,pending,Local route requires database; connected route review remains open
HQ,/settings,apps/hq/app/settings/page.tsx,local-review,Warm presentation reviewed with local fixtures; connected acceptance pending
HQ,/settings/theme,apps/hq/app/settings/theme/page.tsx,local-review,Warm presentation reviewed with local fixtures; connected acceptance pending
HQ,/setup,apps/hq/app/setup/page.tsx,pending,
HQ,/stripe/return,apps/hq/app/stripe/return/page.tsx,pending,
HQ,/team/[personId],apps/hq/app/team/[personId]/page.tsx,pending,
HQ,/team/invite,apps/hq/app/team/invite/page.tsx,pending,
HQ,/training/drills/create/advanced,apps/hq/app/training/drills/create/advanced/page.tsx,pending,
HQ,/training/drills/create,apps/hq/app/training/drills/create/page.tsx,pending,
HQ,/training,apps/hq/app/training/page.tsx,pending,
HQ,/training/practice-plans/[planId],apps/hq/app/training/practice-plans/[planId]/page.tsx,pending,
HQ,/training/practice-plans/[planId]/print,apps/hq/app/training/practice-plans/[planId]/print/page.tsx,pending,
HQ,/training/practice-plans/create,apps/hq/app/training/practice-plans/create/page.tsx,pending,
HQ,/training/practices/[eventId],apps/hq/app/training/practices/[eventId]/page.tsx,pending,
HQ,/training/programs/[programId],apps/hq/app/training/programs/[programId]/page.tsx,pending,
HQ,/training/programs/create,apps/hq/app/training/programs/create/page.tsx,pending,
Player native,PolicyReviewModal,apps/player/App.tsx,pending,Physical device verification pending
Player native,CoachProfileModal,apps/player/App.tsx,pending,Physical device verification pending
Player native,HomeScreenV3,apps/player/App.tsx,pending,Physical device verification pending
Player native,BookingCalendarModal,apps/player/App.tsx,pending,Physical device verification pending
Player native,VenueFinderModal,apps/player/App.tsx,pending,Physical device verification pending
Player native,VenueBookingModal,apps/player/App.tsx,pending,Physical device verification pending
Player native,MobilePredictionMarketSheet,apps/player/App.tsx,pending,Physical device verification pending
Player native,ProTourModal,apps/player/App.tsx,pending,Physical device verification pending
Player native,DiscoverScreen,apps/player/App.tsx,local-review,Discovery headings and navigation reviewed with sample runtime; connected queries pending
Player native,FindCoachScreen,apps/player/App.tsx,local-review,Coach search and empty state reviewed with sample runtime; connected listings pending
Player native,PlayLauncherScreen,apps/player/App.tsx,pending,Physical device verification pending
Player native,PlansScreen,apps/player/App.tsx,pending,Physical device verification pending
Player native,WalletScreen,apps/player/App.tsx,pending,Physical device verification pending
Player native,PredictionPortfolioScreen,apps/player/App.tsx,pending,Physical device verification pending
Player native,PerformanceScreen,apps/player/App.tsx,pending,Physical device verification pending
Player native,BookingModal,apps/player/App.tsx,pending,Physical device verification pending
Player native,PickupModal,apps/player/App.tsx,pending,Physical device verification pending
Player native,QuickActionsSheet,apps/player/App.tsx,local-review,All nine actions opened in light and dark; connected and physical workflows pending
Player native,BookingManagementModal,apps/player/booking-management.tsx,local-review,Light and dark registration/team/pickup forms and cancellation confirmation reviewed locally; connected actions and device verification pending
Player native,DiscoveryMapModal,apps/player/discovery-map.tsx,pending,Physical device verification pending
Player native,PlayerDunaAiScreen,apps/player/duna-ai-screen.tsx,pending,Physical device verification pending
Player native,HealthScreen,apps/player/health-screen.tsx,local-review,Light and dark sample readiness/timeline reviewed locally; real Apple Health and device verification pending
Player native,CheckInModal,apps/player/health-screen.tsx,local-review,Light and dark local rating and note controls reviewed; no private check-in saved
Player native,ConnectModal,apps/player/health-screen.tsx,local-review,Light and dark category selection reviewed locally; Apple permission sheet requires device verification
Player native,ShareModal,apps/player/health-screen.tsx,local-review,Light and dark recipient/category/scope and consent review; no grant submitted
Player native,HomeV3Screen,apps/player/home-v3.tsx,superseded,Unused screen export; activity card components are used by SandHomeScreen
Player native,PlayerMessagingScreen,apps/player/messaging-screen.tsx,pending,Physical device verification pending
Player native,OrganizationExperienceModal,apps/player/organization-experience.tsx,pending,Physical device verification pending
Player native,PlayerCalendarModal,apps/player/player-calendar.tsx,local-review,Light and dark browser review; native calendar integration and physical gestures pending
Player native,PlayerProfileSheet,apps/player/player-social.tsx,pending,Physical device verification pending
Player native,PlayerProfileModal,apps/player/player-social.tsx,pending,Physical device verification pending
Player native,PlayerPickerModal,apps/player/player-social.tsx,pending,Physical device verification pending
Player native,NotificationPreferencesModal,apps/player/profile-hub.tsx,local-review,Warm light component review with sample account; connected and physical verification pending
Player native,VideoDataPreferencesModal,apps/player/profile-hub.tsx,local-review,Warm light component review with sample account; connected and physical verification pending
Player native,ProfileDetailsModal,apps/player/profile-hub.tsx,local-review,Warm light component review with sample account; connected and physical verification pending
Player native,SubscriptionManagementModal,apps/player/profile-hub.tsx,local-review,Warm light component review with sample account; connected and physical verification pending
Player native,ProfileHubScreen,apps/player/profile-hub.tsx,local-review,Light and dark appearance and persistence reviewed in browser renderer; connected and device verification pending
Player native,ProfileEditorModal,apps/player/profile-studio.tsx,local-review,Light and dark sample form reviewed; account save and physical verification pending
Player native,PlayerArtworkModal,apps/player/profile-studio.tsx,local-review,Light and dark sample preparation sheet reviewed; no media or artwork request submitted
Player native,SandHomeScreen,apps/player/sand-home.tsx,local-review,Light and dark hero and sheet review; physical scrolling and status bar verification pending
Player native,ProvisionalPlayerModal,apps/player/score-upload.tsx,pending,Physical device verification pending
Player native,ScoreUploadScreen,apps/player/score-upload.tsx,pending,Physical device verification pending
Player native,PlayerTrainingScreen,apps/player/training-screen.tsx,local-review,Light and dark sample program and response form reviewed; live missing-data state verified; connected response and device verification pending
Player native,RecordingChoiceSheet,apps/player/video-studio.tsx,pending,Physical device verification pending
Player native,VideoPlayerModal,apps/player/video-studio.tsx,pending,Physical device verification pending
Player native,VideoStudioScreen,apps/player/video-studio.tsx,local-review,Capture entry and preview gates reviewed; actual capture and provider playback pending
Player native,VisionSecondScreen,apps/player/vision-second-screen.tsx,pending,Physical device verification pending
Pro native,TodayScreen,apps/pro/App.tsx,local-review,Actual components with local data reviewed; connected and physical acceptance pending
Pro native,CalendarScreen,apps/pro/App.tsx,local-review,Actual components with local data reviewed; connected and physical acceptance pending
Pro native,PeopleScreen,apps/pro/App.tsx,pending,Physical device verification pending
Pro native,ScorerScreen,apps/pro/App.tsx,pending,Physical device verification pending
Pro native,MoreScreen,apps/pro/App.tsx,local-review,Actual components with local data reviewed; connected and physical acceptance pending
Pro native,CoachVideoScreen,apps/pro/coach-video.tsx,pending,Physical device verification pending
Pro native,DunaAiScreen,apps/pro/duna-ai-screen.tsx,pending,Physical device verification pending
Pro native,GetPaidScreen,apps/pro/get-paid.tsx,local-review,Light and dark component review with sample data; connected and physical workflows pending
Pro native,ProMessagingScreen,apps/pro/messaging-screen.tsx,pending,Physical device verification pending
Pro native,MoneyScreen,apps/pro/money-screen.tsx,local-review,Light and dark component review with sample data; connected and physical workflows pending
Pro native,OperatorCreateScreen,apps/pro/operator-create.tsx,local-review,Light and dark component review with sample data; connected and physical workflows pending
Pro native,SessionNotesScreen,apps/pro/session-notes.tsx,local-review,Light and dark component review with sample data; connected and physical workflows pending
Pro native,TicketScannerScreen,apps/pro/ticket-scanner.tsx,pending,Physical device verification pending
Player native,StableVideoSurface,apps/player/video-player-surface.tsx,local-review,Expo browser playback lifecycle verified; physical device pending
Player portal,DunaVideoGallery,apps/web/components/duna-video-gallery.tsx,local-review,Sample clip playback selection and retry verified; private provider playback pending
HQ,/calendar,apps/hq/app/[module]/page.tsx,pending,
HQ,/locations,apps/hq/app/[module]/page.tsx,pending,
HQ,/members,apps/hq/app/[module]/page.tsx,pending,
HQ,/team,apps/hq/app/[module]/page.tsx,pending,
HQ,/products,apps/hq/app/[module]/page.tsx,pending,
HQ,/events,apps/hq/app/[module]/page.tsx,pending,
HQ,/leagues,apps/hq/app/[module]/page.tsx,pending,
HQ,/marketing,apps/hq/app/[module]/page.tsx,pending,
HQ,/reports,apps/hq/app/[module]/page.tsx,pending,
HQ,/admin/organizations,apps/hq/app/admin/[module]/page.tsx,pending,
HQ,/admin/people,apps/hq/app/admin/[module]/page.tsx,pending,
HQ,/admin/ratings,apps/hq/app/admin/[module]/page.tsx,pending,
HQ,/admin/trust,apps/hq/app/admin/[module]/page.tsx,pending,
HQ,/admin/sand-data,apps/hq/app/admin/[module]/page.tsx,pending,
HQ,/admin/pro-tour,apps/hq/app/admin/[module]/page.tsx,pending,
HQ,/admin/player-intelligence,apps/hq/app/admin/[module]/page.tsx,pending,
HQ,/admin/player-mapping,apps/hq/app/admin/[module]/page.tsx,pending,
HQ,/admin/ratings-lab,apps/hq/app/admin/[module]/page.tsx,pending,
HQ,/admin/predictions,apps/hq/app/admin/[module]/page.tsx,pending,
HQ,/admin/vision,apps/hq/app/admin/[module]/page.tsx,pending,
HQ,/admin/payments,apps/hq/app/admin/[module]/page.tsx,pending,
HQ,/admin/audit,apps/hq/app/admin/[module]/page.tsx,pending,
HQ,/admin/flags,apps/hq/app/admin/[module]/page.tsx,pending,
HQ,/admin/health,apps/hq/app/admin/[module]/page.tsx,pending,
Player native,AppearanceModal,apps/player/profile-hub.tsx,local-review,Light dark device preference and reload persistence checked; physical acceptance pending
